Title,Form-factor,Category of BCI,reality factor,neurafictionality,neuroptimism,BCI forecast,Near Future,prediction,,Name of BCI,Image,Cover,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,Description,Keywords,Author/Directed by,Distributed by,Production Company,Link,Publisher (Novels/Games),Quotes,Notes,Year,Utopia/Dystopia in the media,years since publication,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,prediction,BCIF: communication,NF: communication,TO: communication,reality factor check,,,,,,,,,,,,,,Category,reality factor,neurafictionality,neuro-optimism,BCI forecast,,Total Works
Star Trek: Deep Space Nine,helmet,recording brain activity,0.696969697,0.13372093,0.191860465,33,10,2031,,Multitronic Engrammatic Interpreter,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Sloan_multitronic_engrammatic_interpreter.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMDc3OGNhYjUtZGYwNi00MjllLWE0MjYtNDFiYmVhNWI0MGJmXkEyXkFqcGdeQXVyNTE1NjY5Mg._V1_%207.jpg,1-Jan-99,"Anime, Movie, TV Series, comics, game",utopia,Non-invasive,A multitronic engrammatic interpreter was a component that used multitronic technology to encode and decode signals from the neural pathways of the brain.,,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,,,,,1999,"Dystopia, Utopia",23,,,,,,,,,,,0.696969697,,,0.696969697,,,,,,,,,,2031,,,,0.696969697,,,,,,,,,,,,,,,,,,,,
Strange Days,helmet,recording brain activity,0.84375,0.153409091,0.181818182,32,5,2026,,Simstim,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-06-19_at_5.55.11_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/StrangeDaysWriter.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/StrangeDaysReader.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/StrangeDays.jpg,1-Jan-95,Movie,utopia,Non-invasive,"Helmet-like interlace, almost like a hair net, but rigid, which fits snugly over the cranium, from the top of the forehead to the back of the neck.
Small enough to fit under a wig or hat, the device is connected by a thin wire to a computer pack elsewhere on the body. It is designed specifically to record and playback brain impulses. It records the electrochemical composition of many key areas of the brain carefully, to the point that all sensory input is recorded and preserved, along with emotional responses, activation of the pleasure center, and more. All continuing in one long recording, for the duration the active recording array is being worn.",,Kathryn Bigelow,20th Century Fox,LightStorm Entertainment,,,,,1995,"Dystopia, Utopia",27,,,,,,,,,,,0.84375,,,0.84375,,,,,,,,,,2026,,,,0.84375,,,,,,,,,,,,,,,,,,,,
Diaspora,N/A,recording brain activity,0.555555556,0.143678161,0.25862069,45,20,2041,,nanomachine,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/DiasporaEgan.jpg,1-Jan-97,Novel,"dystopia, utopia",N/A,record the brain's information states as it is chemically converted into a crystalline computer,,Greg Egan,,,,Millennium,,,1997,Utopia,25,,,,,,,,,,,0.555555556,,,0.555555556,,,,,,,,,,2041,,,,0.555555556,,,,,,,,,,,,,,,,,,,,
Propagandist,N/A,"emotions, memory, recording brain activity",0.375,0.334821429,0.892857143,200,125,2146,,Psychoscanner,,,1-Jan-47,Novel,"dystopia, utopia",N/A,"A device capable of taking impressions, feelings and memories from living brains; it can be used on animals as well.",,Murray Leinster,,,,Astounding Science-Fiction,"Psychoscanners have been able to secure excellent pictures and sound memories from the animal. It is of a species that lives in symbiosis with the creatures operating the space craft. Its utility to the superior race is not yet clear... The animal's vision appears to be relatively poor, but its hearing and smell are excellent. It's memories of smells, in particular, are especially vivid... Apparently, however, little or no technical information can be had from the animal because of the disinterest of ""Buck"" - this is the auditory memory of the animal's name for itself - in such matters.",,1947,"Dystopia, Utopia",75,,,,,,0.375,,,0.375,0.375,0.375,,,0.375,,,,,,,,,,2146,,,,0.375,,,,,,,,,,,,,,,,,,,,
A Scanner Darkly,tool,recording brain activity,1,0.231958763,0.231958763,45,0,2021,,Cephalochromoscope (Cephscope),Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/07scan.1.600.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/AScannerDarkly(1stEd).jpg,1-Jan-77,"Movie, Novel",utopia,N/A,A brain-scan device with a screen to display neural patterns,,"Philip K. Dick, Richard Linklater",Warner Bros. Pictures,"Section Eight, Thousand Words",,Doubleday,"""Your cephalochromoscope that cost you nine hundred dollars, that you always turn on and play when you get home - Ernie and Barris were babbling away about it. They tried to use it today and it wouldn't work. No colors and no ceph patterns, neither one...""  ...some other nut or perhaps the same one imposing a brain-print of his own shorted-out upstairs on an incredibly expensive and valued cephscope that everyone in the house, plus all their friends, loved and enjoyed.  ...his Altec cephalochromoscope, around which he had built the pleasure part of his schedule, the segment of the day in which they all relaxed and got mellow....",,1977,Utopia,45,,,,,,,,,,,1,,,1,,,,,,,,,,2021,,,,1,,,,,,,,,,,,,,,,,,,,
"House M.D., S6 EP16 ""Black Hole""",helmet,recording brain activity,0.545454545,0.074534161,0.136645963,22,10,2031,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-6%203.jpeg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/House_S6_DVD.jpg,1-Jan-10,TV Series,"dystopia, utopia",Non-invasive,"an experimental procedure called ""cognitive pattern recognition"" to map the unconscious thoughts of the user",unconsciousness,Greg Yaitanes,"Fox, NBC Universal Television","Heel and Toe Films, Universal Media Studios",,,,,2010,Utopia,12,,,,,,,,,,,0.545454545,,,0.545454545,,,,,,,,,,2031,,,,0.545454545,,,,,,,,,,,,,,,,,,,,
 Star Trek: Deep Space Nine,implant,termination,0.705882353,0.138728324,0.196531792,34,10,2031,,Termination Implant,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMDc3OGNhYjUtZGYwNi00MjllLWE0MjYtNDFiYmVhNWI0MGJmXkEyXkFqcGdeQXVyNTE1NjY5Mg._V1_%208.jpg,1-Jan-98,"Anime, Movie, TV Series, comics, game","dystopia, utopia",Invasive,"The termination implant was a device attached to the brain stem of Vorta operatives of the Dominion. It was triggered by hand with a gesture that applied pressure with the index finger behind the right earlobe and the thumb under the jaw. When the device was activated (voluntarily) by the owner, it caused near-instant, painful death (though the Founders told the Vorta that death would be painless, this was proven not entirely true). Its purpose was to prevent Vorta – and the strategic information they possessed – from falling into enemy hands.",assasination,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Pictures,,,,,1998,"Dystopia, Utopia",24,,,0.705882353,,,,,,,,,,,,,,,,,,0.705882353,,,2031,,,,0.705882353,,,,,,,,,,,,,,,,,,,,
Cantata 140,N/A,termination,0.743589744,0.280193237,0.376811594,78,20,2041,,Boulder,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/51F22z03ZrL._SX326_BO1204203200_.jpg,1-Jan-64,Novel,dystopia,N/A,A device that homed in on a person's brain wave pattern; a very specific assassination device,assasination,Philip K. Dick,,,,The Magazine of Fantasy and Fiction,"The weapon which Herb Lackmore had been provided with contained a costly replica of the encephalic brainwave pattern of James Briskin. He needed merely to place the device within a few miles of Briskin, screw in the handle, and then, with a switch, detonate it.
It was a mechanism, he decided, which provided little if any personal satisfaction.",,1964,Dystopia,58,,,0.743589744,,,,,,,,,,,,,,,,,,0.743589744,,,2041,,,,0.743589744,,,,,,,,,,,,,,,,,,,,
Lord of Light,N/A,termination,0.733333333,0.269607843,0.367647059,75,20,2041,,Mechanical Cobra,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/13821.jpg,1-Jan-67,Novel,dystopia,N/A,An assassination device; senses brain waves to find its victim,assasination,Roger Zelazny,,,,The Magazine of Fantasy and Fiction,"...he's dreamed up some other little jewels, too, to serve the will of the gods ... like a mechanical cobra capable of registering encephalogram readings from a mile away, when it rears and spreads its fan. It can pick one man out of a crowd, regardless of the body he wears. There is no known antidote for its venom.",,1967,Dystopia,55,,,0.733333333,,,,,,,,,,,,,,,,,,0.733333333,,,2041,,,,0.733333333,,,,,,,,,,,,,,,,,,,,
Inception,N/A,dreams,0.193548387,0.074534161,0.385093168,62,50,2071,,"Portable Automated Somnacin IntraVenous Device
PASIV Device",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/PASIV_Device_Infobox.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Inception_poster.jpg,1-Jan-10,Movie,dystopia,Non-invasive,"A device used for administering the drug Somnacin to dreamers in the field.
Somnacin is the name of the drug used to initiate dream sharing and lucid dreaming.",sleep,Christopher Nolan,Warner Bros. Pictures,"Legendary Pictures, Syncopy",,,,,2010,Dystopia,12,,,0.193548387,,0.193548387,,,,,,,,,,,,,,,,,,,2071,,,,0.193548387,,,,,,,,,,,,,,,,,,,,
Fringe,implant,dreams,0.393939394,0.080246914,0.203703704,33,20,2041,,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/FringeS2PosterMed.jpg,1-Jan-09,TV Series,dystopia,Invasive,"brain–computer interface chip attached to the thalamus, the part of the brain controlling dreams.",sleep,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television",,,,,2009,Dystopia,13,,,0.393939394,,0.393939394,,,,,,,,,,,,,,,,,,,2041,,,,0.393939394,,,,,,,,,,,,,,,,,,,,
Paprika,earpiece,dreams,0.166666667,0.091463415,0.548780488,90,75,2096,,DC Mini,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen-Shot-2017-04-17-at-6.37.26-PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/4903.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/DC-Mini.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/paprika.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/220px-Paprikaposter.jpg,1-Jan-07,Movie,"dystopia, utopia",Non-invasive,"A therapy tool that allows a psychotherapist to enter a patient's dreams; device that resembles a bluetooth cellphone earpiece. The device allows psychotherapists to actually enter the dreamworld of their patients. It has the ability to record them with the capability of playback, allowing for it to be used as a form of mass therapy by a larger psychiatric corporation that benefits economically and socially from such a device.",sleep,Satoshi Kon,Sony Pictures Entertainment Japan,Madhouse,,,,,2007,"Dystopia, Utopia",15,,,0.166666667,,0.166666667,,,,,,,,,,,,,,,,,,,2096,,,,0.166666667,,,,,,,,,,,,,,,,,,,,
The Dream Master,helmet,"control of the user, dreams",0.358974359,0.273170732,0.76097561,156,100,2121,,neuroparticipant therapy,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/TheDreamMaster(1stEd)%201.jpg,1-Jan-66,Novel,"dystopia, utopia",Non-invasive,"This is a world ripe for psychotherapeutic innovations, such as the ""neuroparticipant therapy"" in which the protagonist, Charles Render, specializes. In neuroparticipation, the patient is hooked into a gigantic simulation controlled directly by the analyst's mind; the analyst then works with the patient to construct dreams—nightmares, wish-fulfillment, etc.--that afford insight into the underlying neuroses of the patient, and in some cases the possibility of direct intervention. (For example, a man submerging himself in a fantasy world sees it utterly destroyed at Render's hands, and is thus ""cured"" of his obsession with it.)","medical, sleep",Roger Zelazny,,,,Ace Books,,,1966,"Dystopia, Utopia",56,,0.358974359,0.358974359,0.358974359,0.358974359,,,,,,,,,,,,,,,,,,,2121,156,0.273170732,0.76097561,0.358974359,,,,,,,,,,,,,,,,,,,,
Warcross,"glasses, lenses","XR, reality",0.2,0.032467532,0.162337662,25,20,2041,,Neurolink,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/3b06cbfa-2689-4dba-a14e-201289209079-screen-shot-2017-09-05-at-114006-am.png.jpeg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/9780241321447.jpg,1-Jan-17,Novel,"dystopia, utopia",Non-invasive,"The Neuro-Link is a brain-computer interface and software used to play Warcross, and helps the brain manipulate images and renderings almost indistinguishable from reality. Variants include glasses or contact lenses, which assist the brain in creating such images. It was created by Hideo Tanaka when he was 13. Newer versions are still being made the latest versions are contact lenses and were made by him when he was 28.","gaming, simulations",Marie Lu,,,,G.P. Putnam's Sons,,,2017,"Dystopia, Utopia",5,,,,,,,,,,0.2,,,0.2,,,,,,,,,,,2041,,,,0.2,,,,,,,,,,,,,,,,,,,,
Virtual Light,glasses,XR,0.591836735,0.162921348,0.275280899,49,20,2041,,hood hologram,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/virtual2_small.jpg,1-Jan-93,Novel,dystopia,Non-invasive,The glasses are a new kind of virtual reality unit called 'Virtual Light' which directly feed the optic nerve with EMP to create images.,XR,William Gibson,,,,Bantam Books,,,1993,Dystopia,29,,,,,,,,,,0.591836735,,,0.591836735,,,,,,,,,,,2041,,,,0.591836735,,,,,,,,,,,,,,,,,,,,
Clans of the Alphane Moon,N/A,tracking,0.852941176,0.280193237,0.328502415,68,10,2031,,Cephalic Sniffer,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/514tdtG2F-L._SX291_BO1204203200_.jpg,1-Jan-64,Novel,dystopia,N/A,Device can locate an individual using brain patterns,tracking,Philip K. Dick,,,,Ace Books,"It was easy to see how she had traced him; modern detection devices were available and cheap. Mary had probably gone to a pry-vie, a robot detection agency, obtained the use of a sniffer, presented it his cephalic pattern; it had gone to work, following him to every place he had been since leaving her. Nowadays, finding someone was an exact science.",,1964,Dystopia,58,,,,,,,,,,,0.852941176,,,,,,,,,,,0.852941176,,2031,,,,0.852941176,,,,,,,,,,,,,,,,,,,,
"Lies, Inc. (The Unteleported Man)",N/A,tracking,0.852941176,0.280193237,0.328502415,68,10,2031,,Cephalotropic Dart,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/22582._UY475_SS475_.jpg,1-Jan-64,Novel,dystopia,N/A,"A slim, short-range device that homes in on the brain wave pattern of the target",tracking,Philip K. Dick,,,,Ace Books,"One after another, the cigarillos were cut open by Theodoric's men, inspected ... the fifth one turned out to be hard; it did not yield to the sharp-bladed pocket knife, and, a moment later, a more complex analytical device showed the cigarillo to be a homeostatic cephalotropic dart.
""Whose Alpha-wave pattern?"" Theodoric Ferry asked Dosker.
""Yours,"" Dosker said tonelessly. He watched without affect as the two decayed-eyed but very expert employees of THL crushed the dart under heel, rendering it useless.",,1964,Dystopia,58,,,,,,,,,,,0.852941176,,,,,,,,,,,0.852941176,,2031,,,,0.852941176,,,,,,,,,,,,,,,,,,,,
Divergent,drug,control of the user,0.180327869,0.06875,0.38125,61,50,2071,,TRUTH SERUM,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screenshot_2021-02-04_at_06.32.26.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screenshot_2021-02-04_at_04.13.31.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screenshot_2021-02-04_at_04.13.13.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screenshot_2021-02-04_at_06.23.45.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screenshot_2021-02-04_at_06.30.19.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_9723.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Divergent.jpg,1-Jan-11,Movie,dystopia,N/A,"The rest of the Dauntless are injected with a serum supplied by Erudites, which is supposedly for tracking but actually for mind control.","brainwash, cooperation","Neil Burger, Veronica Roth",Lionsgate Premiere,"Red Wagon Entertainment, Summit Entertainment",,Katherine Tegan Books,,,2011,Dystopia,11,,0.180327869,,0.180327869,,,,,,,,,,,,,,,,,,,,2071,61,0.06875,0.38125,0.180327869,,,,,,,,,,,,,,,,,,,,
Elysium,"earpiece, implant, software","cerebral defense, knowledge upload, linking, storage",0.310344828,0.056962025,0.183544304,29,20,2041,,Sabre Cerebral Defense,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.35.12_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.36.40_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.36.43_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.04_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.10_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.26_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.32_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.37_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.40_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.41_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.38.44_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.40.53_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.41.07_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.41.11_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.42.05_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.42.23_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.42.46_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.43.38_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.44.20_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-07_at_4.45.28_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/large_7zOZn1eHAetNUEoVN0LJy5EG4JE.jpg,1-Jan-13,Movie,"dystopia, utopia",Invasive,"Neural implant used to access cranial data, or brain data. Cranial Data, or Brain data is an arrangement of scripts or code, or even full data, that is stored in a computer chip implanted within someone's brain.
It seems that cranial data is a normal medium used by Elysium's citizens to secure and protect extremely sensitive data for transport, similar to a modern-day flash drive, but far more secure. There also appears to be data defense programs, such as the Sabre Cerebral Defense program that is being used to secure the code when one of the heroes uploads it into his brain, that provides further security in case someone attempts to use the code in an unauthorized manner.
With cranial data, just like any other type of data, it is possible for people to implant devices into the brain that is capable of syncing and ""grabbing"" the cranial data from the individual. This action is referred to as a data heist and is considered a type of theft. It is also hinted at in the movie that bank account codes and other financial security information is held in the cranial data bank, which would imply that the cranial data implant also functions as a security measure to authorize funds or even access to secured areas.","backup, cerebral defense, software, storage, tracking",Neill Blomkamp,Sony Pictures Releasing,"Media Rights Capital, TriStar Pictures",,,,,2013,Dystopia,9,,0.310344828,,,,,0.310344828,0.310344828,,0.310344828,,,,,,,,,0.310344828,,,,,2041,29,0.056962025,0.183544304,0.310344828,,,,,,,,,,,,,,,,,,,,
Cyberpunk 2077,implant,"knowledge upload, linking, storage",0.019607843,0.006666667,0.34,51,50,2071,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Cyberpunk-2077-Cyberware-Implants-Guide-Nervous-System-1024x576.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Netrunner_28229.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Netrunner_Role_Profile_RED.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Book_cover_2013.jpg,1-Jan-21,game,dystopia,Invasive,"Netrunners are the types of savvy computer hackers you would find in the movie Hackers, but with a cybernetically augmented interface system implanted into their body. Using their brain-computer interface implants, they roam the Internet, looking for systems to hack and information to sell to fixers. Although anyone can enter the Net, most people can't use the ""Menu."" The Menu is a group of Applications (Apps) that are Interface programs that allows a Netrunner to Locate Remote, Run Software, Control Remote, LDL Link, Load, Create and Delete.",,,,CD Projekt,,,,,2021,Dystopia,1,,0.019607843,,,,,0.019607843,0.019607843,,0.019607843,,,,,,,,,0.019607843,,,,,2071,51,0.006666667,0.34,0.019607843,,,,,,,,,,,,,,,,,,,,
Zack Snyder's Justice League,lifeform,"linking, manipulation, memory, reading thoughts",0.00990099,0.006666667,0.673333333,101,100,2121,,Starro,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/JL3.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/1JL.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/JL2.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/JL4.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Zack_Snyders_Justice_League.png,1-Jan-21,Movie,dystopia,Semi-invasive,"robotic spider-like system used to access memories. Mind Control: He can, besides control individual targets via his parasites, mentally influence a sizable crowd of ordinary humans with relative ease. 
Remote Mental Influence: Even without a Starro parasite directly controlling a host, The larger Starro can influence minds on a more indirect level by reaching out to the dreaming within the resting subconscious mind. Able to appropriate induced sleep within a host to ensnare them within its own wakeless fantasy allowing it to probe and assimilate the minds of countless potential vessels that it can then seed with a smaller Starro organism later on. The victim/host will have nausea, headaches, fatigue, dizziness, migraines, heavy drowsiness, or blackouts while awake from Starro's telepathically effects.","group mind, parasites",Zack Snyder,HBO Max,"DC Films, Warner Bros. Pictures",,,,,2021,Dystopia,1,,0.00990099,,,,,,0.00990099,0.00990099,0.00990099,,0.00990099,,,,,0.00990099,,,,,,,2121,101,0.006666667,0.673333333,0.00990099,,,,,,,,,,,,,,,,,,,,
The Brave and the Bold Vol 1 28,lifeform,"control of the user, manipulation, memory, reading thoughts",0.382716049,0.293838863,0.767772512,162,100,2121,,Star Conqueror,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Starro_28Prime_Earth29_0001.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Batman-_The_Brave_and_the_Bold-_Siege_of_Starro_Part_One!.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Starro_005.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/The_Brave_and_the_Bold_28.jpg,1-Jan-60,comics,dystopia,Semi-invasive,"Mind Control: Starro can, besides control individual targets via his parasites, mentally influence a sizable crowd of ordinary humans with relative ease. 
Remote Mental Influence: Even without a Starro parasite directly controlling a host, The larger Starro can influence minds on a more indirect level by reaching out to the dreaming within the resting subconscious mind. Able to appropriate induced sleep within a host to ensnare them within its own wakeless fantasy allowing it to probe and assimilate the minds of countless potential vessels that it can then seed with a smaller Starro organism later on. The victim/host will have nausea, headaches, fatigue, dizziness, migraines, heavy drowsiness, or blackouts while awake from Starro's telepathically effects.","group mind, parasites",Bob Haney,,,,DC Comics,,,1960,Dystopia,62,,0.382716049,,0.382716049,,,,,0.382716049,0.382716049,,0.382716049,,,,,0.382716049,,,,,,,2121,162,0.293838863,0.767772512,0.382716049,,,,,,,,,,,,,,,,,,,,
"Futurama, S7 EP10 ""Game of Tones""","helmet, tool","dreams, memory",0.056603774,0.056962025,1.006329114,159,150,2171,,radio-cranial dream injector,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama-Season-7-Episode-23-3-df7d.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama-Season-7-Episode-23-14-123f.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama-Season-7-Episode-23-42-b3ca.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama-Season-7-Episode-231.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_s.jpg,1-Jan-13,sitcom,"dystopia, utopia","Non-invasive, non-contact",a device to read memory of the person in a contactless manner. A helmet to induce dreams to access that memory.,,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",,,,,2013,"Dystopia, Utopia",9,,,0.056603774,,0.056603774,,,,0.056603774,0.056603774,,,,,,,,,,,,,,2171,,,,0.056603774,,,,,,,,,,,,,,,,,,,,
"The Unstable Grey Hole, Solar Opposites",implant,manipulation,0.019607843,0.013245033,0.675496689,102,100,2121,,Brain Control Device ,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Solar_Oposites_S01E02_BCD.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Solar_Oposites_S01E02.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-4%202.jpeg,1-Jan-20,Anime,dystopia,Semi-invasive,Brain Control Devices are used to manipulate and control humans,,"Anthony Chun, Bob Suarez",Disney Platform Distribution,Important Science,,,,,2020,Dystopia,2,,,,,,,,,,0.019607843,,,,,,,0.019607843,,,,,,,2121,,,,0.019607843,,,,,,,,,,,,,,,,,,,,
American Dad!,"helmet, tank with water",memory,0.090909091,0.091463415,1.006097561,165,150,2171,,Goo,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-26_at_22.18.55.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-03-26_at_22.19.16.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/51bGBAQ2qL._SY445_.jpg,1-Jan-07,sitcom,dystopia,Non-invasive,"""the goo,"" a CIA device that implants false memories.",,"Matt Weitzman, Mike Barker, Seth MacFarlane","20th Television, Fox","20th Television, Fuzzy Door Productions",,,,,2007,Dystopia,15,,,,,,,,,0.090909091,0.090909091,,,,,,,,,,,,,,2171,,,,0.090909091,,,,,,,,,,,,,,,,,,,,
